Country,Year,Region,Income Group,"Net official development assistance received (current US$)","Population living in slums (% of urban population)","Exports of goods and services (% of GDP)","GDP per capita (current US$)","Literacy rate, youth total (% of people ages 15-24)","Literacy rate, adult total (% of people ages 15 and above)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Primary completion rate, total (% of relevant age group)","Trained teachers in primary education (% of total teachers)","Children out of school (% of primary school age)","School enrollment, secondary (% gross)","Government expenditure on education, total (% of government expenditure)","Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Improved water source (% of population with access)","Improved sanitation facilities (% of population with access)","Pregnant women receiving prenatal care (%)","Diabetes prevalence (% of population ages 20 to 79)","Health expenditure per capita (current US$)","Income share held by lowest 20%","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","GINI index (World Bank estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)","Population ages 0-14 (% of total)","Population ages 15-64 (% of total)","Fuel exports (% of merchandise exports)","High-technology exports (% of manufactured exports)"
"Afghanistan","1995","South Asia","Low income",212530000,,,,,,0.47184,,,,22.56602,,0.1,152.3,21.5,20.6,,,,,,,0.601999998092651,164.7116,53.1393902439024,,47.7971887590906,49.8812164324483,,
"Afghanistan","1967","South Asia","Low income",40600000,,6.77290842314672,161.384701674071,,,,,,,,,,323.3,,,,,,,,,,145.321,35.3894146341463,,43.5550218930232,53.7334837875894,4.40957469624438,
"Afghanistan","2010","South Asia","Low income",6471680000,,10.0238497500877,569.940728793286,,,0.62951,,,,53.24683,17.06756,0.1,105,48,29.3,59.6,,52.8857608,,,,8.22799968719482,99.6324,58.9708292682927,,47.5893444319327,50.1354059785052,,
"Afghanistan","1994","South Asia","Low income",226420000,,,,,,0.43027,,,,23.1541,,0.1,156.8,21.4,20.6,,,,,,,1.35099995136261,164.4464,52.6143414634146,,47.9260857946333,49.7889441105958,,
"Afghanistan","1960","South Asia","Low income",17180000,,4.13223321494422,59.7876806182323,,,,,,,,,,,,,,,,,,,,145.321,32.328512195122,,42.1706091513168,55.0304048130958,,
"Afghanistan","2011","South Asia","Low income",6867050000,,6.1072740046737,622.379654358451,46.99005,31.74112,0.66778,,,,54.61618,16.04843,0.1,102.3,49.8,29.9,47.9,,52.38254929,,,,8.19999980926514,93.7132,59.3279512195122,,47.1004177246777,50.5899007770686,,
"Afghanistan","1964","South Asia","Low income",46170000,,8.88889256172819,82.2313944485018,,,,,,,,,,339.7,,,,,,,,,,145.321,34.0928780487805,,42.8217290280404,54.4263769517749,,
"Afghanistan","1993","South Asia","Low income",223800000,,,,,,0.36082,29.55384,,71.34809,16.52857,,0.1,162,21.4,20.5,,,,,,,1.38800001144409,164.1812,52.0218780487805,,47.9605036868006,49.7805809096386,,
"Afghanistan","1970","South Asia","Low income",27610000,,9.78400228346932,157.258460703612,,,0.16762,,,,8.33161,,,307.8,,,,,,,,,,145.321,36.7028292682927,,44.2218335115681,53.1556284420503,16.9461490985105,
"Afghanistan","2002","South Asia","Low income",1309770000,,32.3867187434984,192.153653041771,,,,,,,,,0.1,130.3,33.8,24.5,,,15.48190406,,,,0.492000013589859,146.248,55.8571951219512,,48.3474556965142,49.451821720393,,
"Afghanistan","1992","South Asia","Low income",204900000,,,,,,,,,,,,0.1,167.8,21.3,20.5,,,,,,,1.06200003623962,163.916,51.3629268292683,,47.9805654597134,49.7808176125794,,
