"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.4283914321714","84.8561759729272","86.6396761133603","82.5309992706054","79.6377054679638","79.9491538064926","74.3860109498193","70.4879162823985","64.9345528642476","63.1063560458027","65.0804037486649","68.547872977831","65.4912745360416","65.9129090572281","66.2606726015035","63.7863311491609","61.5024483891343","70.7720608102996","","","","","",
"Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","4.13223321494422","4.45344326574765","4.87805112036481","9.171601094149","8.88889256172819","11.2582791310323","8.57142877551021","6.77290842314672","8.89967664482985","10.0946369851427","9.78400228346932","10.922342255116","14.7632312416105","12.9487180787311","14.0206189325114","12.6760568934735","13.2173912468809","11.6629043316852","10.8417502819894","","","","","","","","","","","","","","","","","","","","","","","","32.3867187434984","43.5568692886976","33.9964942565238","27.3952555550972","26.4702926571493","17.8237142691694","17.9929746901578","14.707588950143","10.0238497500877","6.1072740046737","5.51685032452764","6.30789504119987","6.63445247528137","7.1496011812672","",
"Angola","AGO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","50","50","33.3333333333333","33.3333333333333","25","69.2307692307692","53.9033457249071","85.3595614317962","","82.7222609884224","68.4919382230125","56.7231384915814","86.2964935064935","89.6278948269862","75.3889911663897","68.290956817129","68.4247367948724","70.2503132572415","86.018631962858","79.7962567674475","73.9581879834826","76.3184268172897","54.9076882615938","62.3877390033995","65.3527091446323","62.3133984075453","55.6889427104501","47.9986914312579","33.9270643310887","",
"Albania","ALB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.1155877404787","22.9826424624068","19.3750006044487","18.1966040097454","17.4130828745422","16.2355450687433","15.0575048012794","15.4662970134491","16.382290098777","17.9401526574603","14.8694465271417","7.22457950300987","11.4904380543576","15.4225232597195","11.3516873339455","12.475374262714","11.195767212162","9.74565430524773","10.8443029094592","15.816731036851","17.8670840199967","18.4315710845747","19.5988742669831","20.3559109079142","21.9829364119704","22.824073563437","24.9339955165743","28.0842219491787","29.5902278534988","29.6008670018631","32.440016829285","34.0136853607969","33.3516426236448","35.4490589254822","28.230908028688","27.1889596891983","",
"Andorra","AND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","37.2150546678792","38.7749091527439","41.2211436439301","57.3073913207756","49.9283071306558","50.9964507902026","45.6955886743283","43.0075607971772","39.9527683804099","45.4017679454321","50.5253067085657","47.4151094759825","39.5303099787263","34.3946518528384","32.5081336222113","29.7985795318814","24.5327155733095","27.6784972013061","27.9709778150742","29.737780438771","32.0500085941197","28.799300184253","30.2987551533372","28.5362467702892","29.4751395966421","31.3446059473622","32.7408765209128","37.386913988436","33.0807452296252","36.3605694770494","42.6818369766995","40.8691581556891","41.669179721141","45.62760241042","48.8364245401936","52.6374158872179","53.7583130153535","53.7206414207023","56.9710348455329","47.4290884858662","49.9340177645713","54.7534211446079","55.5174768741316","53.6961060231666","50.8354200784493","43.2726551296465","",
"United Arab Emirates","ARE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1592253276122","49.5033473840813","55.9231992151745","63.5677906002192","67.5854343932605","68.6311120482932","72.3840975003088","78.86788870154","79.6533178621862","78.7538555381646","90.3330723880865","100.633572718675","101.022332965228","97.3473622315811","97.3591692998008","",
"Argentina","ARG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","7.60404910831426","5.99494699481463","4.69184275899831","7.89045420265575","5.56371560478508","6.22587443766796","6.65291738361061","7.4955962262493","6.48445346277515","6.39871331653575","5.601566676004","6.00723288129249","7.19776583908352","7.61266772119213","6.90257079761096","5.82405179865079","9.17538829665278","9.6158924127723","8.60838993812451","6.51091546668746","5.06197268096631","6.9210494803617","9.09049307859513","9.15152068682072","7.5898953117888","11.7360980207352","8.16197754429543","7.87320581340031","9.53161297293404","13.0584089085641","10.3595365925264","7.67504334832217","6.5981874720374","6.90935166055555","7.52990988191423","9.68049474531719","10.4285416392997","10.5607988827388","10.4155150598808","9.82715687968877","10.986396203428","11.5791314930307","28.3826540405656","25.9309089022757","23.8476194324778","23.245876736374","23.0266946008853","22.6627503072042","22.0609003789185","19.5609850561978","18.9338234033605","18.4492091448659","16.2378594630693","14.6171733872728","14.4098189919245","11.0084679079339","",
"Armenia","ARM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0029815146094","40.7453883799724","39.8207529671103","47.2189771870216","39.3280401333317","23.9279214540756","23.240002799019","20.2732698898362","19.0030205066285","20.7582599150008","23.3752785094862","25.4683909062582","29.3565510388216","32.1526450092688","29.7348288897575","28.8092203201695","23.3589858676515","19.1856439468102","15.047103497546","15.4744686790481","20.8300947224855","23.756853460251","27.5667218763657","28.3591264995539","28.5651387020776","29.7961959734814","",
"American Samoa","ASM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.778210116732","97.3434535104364","89.84375","99.0059642147117","99.7983870967742","97.1153846153846","113.854351687389","78.1710914454277","63.1944444444444","58.3623693379791","74.8447204968944","71.3615023474178","66.3009404388715","66.3026521060843","",
"Antigua and Barbuda","ATG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","47.7014390503388","61.6001187472169","81.7867898012447","67.3026448617","73.2242225859247","67.8229119123688","61.3488630597105","74.7438524590164","75.1408179366274","84.1140498855284","79.5961110823809","78.7354562155542","81.0035806742777","88.952366539291","90.0798700419656","96.1071878059013","96.221149555835","58.8043607062448","85.2956606460316","75.6656923814087","76.4486458865611","75.1406726002031","72.5363636363637","59.5610335508733","57.5541627615996","53.3145990463854","55.0761815461107","59.4389109722054","54.6704956842042","48.2907905565349","45.0872506924545","46.4147204088927","46.553273439294","46.130856958976","47.5924416172181","45.1006408349134","45.4407152448787","48.3826660590168","45.2941176470588","",
"Australia","AUS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","12.9983714337415","12.4087591240876","13.9461529796102","13.0085959885387","14.9410655351249","13.2230333923712","12.9376952161762","12.8884792626728","12.3035751046456","11.9592486079667","12.9819702400348","12.666617022861","12.8321072641785","14.1624253153353","13.157020951622","14.2911397746614","13.5333734215274","14.0326932894367","13.6387054917376","14.3220088626292","16.4486468376577","14.918148155456","13.5459756361606","13.601422094309","13.5799633430054","15.2607022443211","15.0127607890165","15.4913853142619","15.9793114515313","15.1376321399052","15.1378666917438","16.0483589069826","16.6721443653396","17.5499135072798","17.9722040654501","17.881199627084","18.89046430732","19.1306441383251","19.5940402154655","18.3592559690315","19.4361371093703","22.1470999870962","20.6750041147457","18.9222200019982","17.0132829924059","18.0743853376995","19.6046450547049","19.8960179801092","19.7587994644893","22.5244525248737","19.4443694734025","21.1415134824567","21.2794239748472","19.829399829308","20.9040514256793","19.7974791132473","",
"Austria","AUT","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","23.2478251355375","23.0053297937755","23.4163731876468","23.4268110207149","23.3993989196795","23.7702933429408","23.708681403716","23.7042547228676","24.309171420419","26.8480017913189","27.4579029731929","27.10064005918","26.99569903926","26.9843721657013","29.1846756851487","28.1624791708492","28.821958429149","28.0214604123687","29.1854005556232","30.9553465930521","31.7696046166588","33.0803520797166","31.8181462474822","30.5517980452374","32.8301052794786","35.0056499354068","32.07498324477","31.4820450451102","33.1507863746627","35.09975798244","35.7836173038417","34.674017685264","33.2353314760951","31.5398774973036","32.2361907844691","33.6141166614543","34.3260231891299","37.1095049388858","38.4525486345965","39.4406688915399","43.4297068820952","44.6928354068558","45.3092484776471","44.5803390773207","46.9163042656422","48.6307793094521","50.8316258753068","52.4851502713453","53.1549284745586","44.8958615926937","51.0036062485681","53.6718626571573","53.7968041822803","53.1923388048021","53.0161619720015","53.0602062913119","",
"Azerbaijan","AZE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.8608458390177","45.6586826347305","86.2036057343209","57.4324238295922","24.7226013631994","27.9008669978442","29.5157027636279","29.021878997429","22.7023181868384","27.9835791559384","39.041359869439","40.9230416133644","42.7685238946695","42.0108752536207","48.7874799245044","62.9364304252346","66.5062303193762","68.1309402161457","65.7761378471842","51.6357456848728","54.3047215353821","56.4269805307016","53.7092323363274","48.7239248495015","43.2874742699796","37.814178293019","",
"Burundi","BDI","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","12.4999996173469","12.9310349923561","13.1147537297961","7.51879705708956","14.0939592991307","10.3479635040849","10.7761598187395","10.8005897057881","10.2956955708047","9.65871537583368","10.68877683141","8.4357498971691","11.7344434462895","11.0161732039696","9.75339745122198","8.27564572417933","13.7264838813102","17.5956102292697","11.7076927839069","14.1626446403038","8.80938056475716","9.14335050943539","10.2119749972585","9.04558008305351","11.5040069052475","11.0266191611848","11.7232284021253","9.74490293553833","12.5907700508015","9.74574398986099","7.87299229412311","9.91737770059179","8.74918052248067","9.38196084636915","10.2717650485534","12.9263428540091","5.8203210186241","9.83547257876313","7.99975012493753","7.57575757575758","6.3189705942566","5.17920216470328","4.68580418118256","6.38141402548028","6.95274828690709","8.20249917245945","7.28204932427273","7.25846908867834","9.49175781045581","6.80235842378646","8.91664261432878","9.35371046740612","8.95012892178016","7.39582113195581","7.76818251970473","6.05318578476081","",
"Belgium","BEL","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","37.8006916562682","39.0131747175795","40.5730913202231","41.7125390253489","42.4975544033319","41.9832709983555","43.6661054948653","42.6867324128493","44.8669093217312","48.8002811996644","44.4874494654761","43.3110347396031","43.6769930532472","47.5310413645842","52.3417586523613","45.4372004402238","48.0480317409711","47.0118203166182","45.2844183925245","49.4018212044324","49.5946310994857","53.4997195860098","57.4973799776648","59.7657895364313","63.7406266792758","61.8030211294594","56.6856722555931","55.2851450286012","58.7885450405163","62.9038418203566","60.9711512089096","59.6015489810274","58.1956405828006","55.5226206194562","57.8156733053286","59.4874678663239","60.4430819386687","63.8968177050834","63.3971597935946","63.898602114435","71.857548930765","71.0205125889807","70.3146529002236","68.5961144506912","70.3700231996813","73.5213383801901","75.711285671428","77.4908402062005","79.695875910141","69.309681433335","76.4484348166672","81.6357430375673","82.3058064516129","81.8103606731476","83.2020558625766","82.9277862122914","",
"Benin","BEN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","6.12391381286847","4.58348954869937","3.51782319655902","3.8213602129436","5.13733827248161","7.2675630638551","6.84654487020172","7.66582205030885","9.33464258694558","11.773219224993","15.1765798315404","17.7857985904456","14.3844022140076","15.6619756505168","14.3167561354656","14.528245927767","12.9912463096923","16.1789026141378","16.5250882129923","17.5163794748371","15.8165128794143","15.9305004610493","17.7710358297085","13.7642891939421","19.5793753212443","23.6526183539095","16.6759209455033","15.2675281201641","13.8037392116767","13.4954289813034","19.181303010653","21.0024860627473","23.2391480496458","22.4643830367556","28.3270186172953","27.3689425027528","26.4988115545834","27.1761345944549","27.0929395510065","23.6881830807318","21.1403892411983","20.3491627220441","20.1878816345702","18.9840514582783","18.8185548019761","18.9320388349515","18.5280226114768","22.5865082139112","22.8546382392536","20.3718071138697","23.7877295637564","21.3820785419831","24.5933543163307","28.1533224280472","32.0762579435358","28.2215469951261","",
"Burkina Faso","BFA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","4.86196544713728","5.42888603877752","5.53198369723123","5.57949208143702","2.7988361825163","4.65259654312259","5.05173084981366","4.92850623155942","6.20473814688316","5.8172137405641","5.45524023286333","5.51146751662156","6.39972719517896","6.31179758031174","8.32076317273408","7.34825434792999","8.20525244540593","7.9602668654066","7.46841921604806","8.24613438701797","8.95052102371656","9.27641060746417","8.19571612776259","7.88414939830604","10.960913625855","9.92146469411376","8.99056313376556","11.3588168034253","10.9987001866015","8.74886259200754","10.9666914119517","10.4475484424359","8.8464803686211","8.95154328138584","14.2016211454196","14.1405565399915","10.5636052055707","10.8125309984677","12.8081030220056","9.52474656097093","9.5326020849116","9.24340542249341","9.17668489790803","8.71021282149153","11.328440265041","9.74399641841393","11.5188631531817","10.8513340518439","9.88278621802106","12.6993485768163","19.2267419676943","25.0036904773432","25.5185220724148","26.1937531344484","25.9365763390254","25.1673178790732","",
"Bangladesh","BGD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","9.99668529799247","10.7823534063335","10.7467512833228","9.98348512216024","10.0284124165217","9.66271640919629","10.2842808274445","9.30614212330159","8.33080893013733","8.14599241256528","8.31311289260521","6.29148731724424","5.6747304028231","6.53940933400325","3.70107546471338","2.89507889386174","4.74608176819018","7.04075196547742","5.55766316100946","6.10921948081309","5.49428379105126","5.13086315280464","5.07529986612759","5.60384903116941","3.39625513455005","5.38447860037049","5.18293196330185","4.99004963895921","5.42830096531266","5.54014371794136","5.90831648660892","6.66261196863293","7.58667691037111","9.01726903574974","9.00154364628231","10.864634213863","9.70650764952346","10.5203705573506","11.7573312287186","11.7586423857313","12.3442012279919","13.3865592080649","12.4099689322019","11.4311486959413","11.1465089461353","14.3928418979283","16.3534635652888","16.9953348464905","17.6588584820757","16.9401329056133","16.0241126856916","19.9220749554939","20.1615888634893","19.5378741103687","18.9896599950107","17.3366749302778","",
"Bulgaria","BGR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","35.7078050482727","35.6384355453304","34.2829076620825","37.1482428072153","40.1311614131585","42.7951269047992","40.0336395168459","40.7852991817975","45.5656654957217","46.4205946557788","33.1191920794173","43.4782608695652","47.1115537848605","38.2067581130813","45.0475646879756","51.9210308681775","58.9780273489085","50.1091427260142","43.0871930390185","43.1687705547894","36.4880861402398","35.0000218576793","33.734710321585","34.531600344756","41.0559456994903","42.5974801947728","47.0810806303858","51.9656712833921","52.2998116636748","42.4145628896137","50.1789511103598","59.069064120149","60.8018104834168","64.6525295119935","65.0124068677831","64.1071862503397","",
