"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.29125","","","","","","","","","","96.82264","","","","","97.5242","",
"Afghanistan","AFG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","18.15768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.74112","","","","38.16804","",
"Angola","AGO","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.40542","","","","","","","","","","","","","70.99109","71.16416","",
"Albania","ALB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.71298","","","","","","","95.93864","","","96.8453","97.24697","","","97.5539","",
"Andorra","AND","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.5934715270996","","","","","","","","","","66.0060653686523","","","","","","","","","","77.3645858764648","","","","","","",
"United Arab Emirates","ARE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","53.51488","","","","","","","","","","71.2353","","","","","","","","","","","","","","","","","","","","90.03385","","","","","","","","","","92.98637","",
"Argentina","ARG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","93.91286","","","","","","","","","","","96.1282","","","","","","","","","","97.19331","","","","","","","","","","","","","98.03402","98.08997","",
"Armenia","ARM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.75196","","","","","","","","","","","","99.40016","","","","","","","","","","99.74441","","","","99.76842","",
"American Samoa","ASM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","97.34416","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.95","","","","","","","","","","","","","98.95","","",
"Australia","AUS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7918","","","","","","","","99.60191","","99.75984","99.77114","99.77863","99.77577","99.78936","99.78899","99.80526","",
"Burundi","BDI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","22.50855","","","","","","","","","","","37.38472","","","","","","","","","","59.30362","","","","","","","","86.94787","","","","","","","85.49609","",
"Belgium","BEL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","16.48279","","","","","","","","","","","","","27.24525","","","","","","","","","","34.65785","","","","28.70211","","","","","","","","","38.44714","",
"Burkina Faso","BFA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","8.68515","","","","","","","","","","","","","","","","13.56923","","","","","12.84817","","","","","","","21.82292","","23.55372","22.47258","28.72921","","","","","","","34.59941","37.7467","",
"Bangladesh","BGD","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","29.22723","","","","","","","","","","35.3193","","","","","","","","","","47.4855","","","","","","","","","","","","","60.57522","61.49383","",
"Bulgaria","BGR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.20356","","","","","","","","","","98.35245","","","","98.38858","",
"Bahrain","BHR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","69.75351","","","","","","","","","","84.01383","","","","","","","","","","86.54874","","","","","","","","","94.55679","","","","","95.71726","",
"Bahamas, The","BHS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.82251","","","","","","","","","96.6631","","","","","","","","","","","","","","98.37765","98.48576","",
"Belarus","BLR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.88337","","","","","","","","","","99.59073","","","","","","","","","","99.61706","","","","","","99.72204","",
"Belize","BLZ","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.29842","","","","","","","","","","","","","","","","","","","","","","","","82.77682","",
"Bermuda","BMU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","63.20815","","","","","","","","","","","","","","","","79.99177","","","","","","","","","86.72367","","","","","","90.74347","90.69811","91.16783","","92.22615","94.46057","","","95.14192","",
"Brazil","BRA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","74.58673","","","","","","","","","","","","","","","","","","","","86.36788","","","","88.61624","","89.61523","90.00937","90.03662","90.29821","90.37918","91.41124","91.33785","91.48424","","92.58681","",
"Barbados","BRB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","99.26808","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","77.83421","","","","","","","","","","87.80418","","","","","","","","","","92.67113","","","","","","","","","","96.08556","","","","96.65653","",
"Bhutan","BTN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.81469","","","","","","","57.0336","","","63.90682","",
"Botswana","BWA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.58091","","","","","","","","","","","","81.18871","","","","","","","","","","","87.70751","88.22441","",
