"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01177","0.99253","0.99975","0.989","0.97754","0.95291","0.9635","0.96764","0.98723","1.00573","1.00407","1.01434","1.0087","1.02143","","","","",
"Afghanistan","AFG","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.16762","0.16162","0.16127","0.16919","0.16741","0.17439","0.18116","0.19284","0.1994","","","0.243","0.48519","","0.47181","0.47814","0.53356","","0.50258","","","0.53816","","0.36082","0.43027","0.47184","","","","","","0","","0.54432","0.40625","0.54896","0.57509","0.56961","0.58902","0.61309","0.62951","0.66778","0.67378","0.65975","0.65834","0.65171","",
"Angola","AGO","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.5618","0.58158","","","","","","","","","","0.82098","0.78618","","","","","","","","","","","","","","","0.81709","","","","","","","","","","0.84169","0.83321","0.78801","0.6395","","","","","",
"Albania","ALB","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","0.93103","","0.93242","0.93664","0.92638","0.9221","0.93316","0.95862","0.94992","0.93917","0.93855","0.94115","0.95444","0.95229","0.94291","0.9444","1.00517","1.03441","0.99514","0.97112","0.97519","0.95812","","0.95522","0.96269","0.97363","","","0.96657","0.96499","0.9729","0.9858","0.98816","1.00293","0.98444","0.96891","0.96077","0.9515","0.94386","0.94666","",
"Andorra","AND","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","1.14837","","","","","","","","1.0251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.620239973068237","0.618380010128021","0.624469995498657","0.631839990615845","0.639069974422455","0.643679976463318","0.652339994907379","0.663139998912811","0.671779990196228","0.692239999771118","0.703649997711182","0.715539991855621","0.725409984588623","0.733229994773865","0.740369975566864","0.749419987201691","0.758170008659363","0.767409980297089","0.771030008792877","0.782100021839142","0.792689979076386","0.799300014972687","0.812950015068054","0.820330023765564","0.823310017585754","0.836749970912933","0.821780025959015","0.845139980316162","0.856440007686615","0.867690026760101","0.876439988613129","0.885190010070801","0.89477002620697","0.903240025043488","0.90709000825882","0.914059996604919","0.917789995670319","0.920210003852844","0.922550022602081","0.923330008983612","0.925040006637573","0.924019992351532","0.930369973182678","0.931039988994598","0.930490016937256","","",
"United Arab Emirates","ARE","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","0.83794","0.93696","0.94372","0.95251","1.01936","1.05232","1.03335","0.9973","0.95779","0.98153","0.97923","0.97214","0.97345","0.99056","1.03007","1.04917","1.05783","1.05731","1.04922","1.04695","1.0437","1.02566","1.00943","","1.03349","1.0458","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","1.03325","1.0299","1.02278","1.02951","1.02659","1.03029","1.02728","1.02866","1.03748","1.02321","1.02485","1.02456","1.01255","","1.01809","1.02794","1.01475","1.01621","1.05675","","","","","","","","1.02533","1.02835","1.01707","1.03151","1.02402","1.02514","1.02435","1.02714","1.03168","1.03587","1.04245","1.04797","1.05099","1.04798","1.03598","1.03969","1.03367","1.03008","1.02966","","",
"Armenia","ARM","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05761","","","","","","","1.13172","1.15052","1.16696","","","","","","1.0063","",
"American Samoa","ASM","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
