"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.61912","97.21595","94.33551","94.75524","90.15509","90.5599","88.19797","93.12736","95.58824","95.13303","96.30607","94.7861","","","96.50446","101.11034","","",
"Afghanistan","AFG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","16.80869","","","17.4348","19.12658","","26.71749","33.22001","13.50134","","18.40089","19.15854","","","","","","","","29.55384","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","45.05037","39.69404","","","","","","","","","31.45512","","","","","","","","","","","","","","","","","42.18664","41.63849","42.77253","49.72513","","","","","",
"Albania","ALB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.02439","","","","97.10421","96.88066","","94.08103","92.96963","","","97.80806","95.13124","94.08693","92.84414","98.04717","103.61884","94.52274","107.82132","106.36756","",
"Andorra","AND","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","49.649040222168","49.5665283203125","49.1534957885742","50.6239318847656","52.0593185424805","54.9772872924805","56.5825881958008","58.6937408447266","58.1022453308105","53.9739799499512","57.0666618347168","60.523021697998","61.2748870849609","62.4580688476563","64.8187789916992","68.891731262207","67.9869842529297","67.7715225219727","68.1523590087891","68.2727737426758","69.5426330566406","69.4807662963867","70.1847763061523","70.3213272094727","71.0782928466797","72.0241317749023","72.9749908447266","73.7333297729492","74.7565307617188","75.7410507202148","75.3761138916016","76.5960998535156","77.5033798217773","80.0030746459961","81.9887924194336","82.9074249267578","81.1982650756836","83.212272644043","85.2788162231445","83.7218627929688","85.4214019775391","85.396598815918","87.2548141479492","85.1492767333984","86.3892288208008","","",
"United Arab Emirates","ARE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","40.34387","42.87657","50.54531","57.3526","60.86544","65.51125","67.73315","72.01896","82.15113","82.37198","80.16433","76.8051","78.70557","78.62644","76.55156","83.97956","92.96806","99.67152","97.86245","95.07715","93.46151","91.31308","87.80299","91.17882","89.53597","88.68136","85.47723","81.63621","83.67674","87.8459","92.76076","96.31754","96.70869","95.75706","","86.36058","87.41023","89.4937","94.09415","96.54083","102.70795","109.19135","",
"Argentina","ARG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","70.72267","71.57413","","","75.31322","78.72014","78.63904","","","","","","","","","","","","","","","","","","98.6803","","93.61729","92.1789","100.08503","98.21706","98.49374","98.08421","102.02763","99.9221","98.56244","96.68479","99.1302","101.8495","105.06197","104.98625","104.80922","104.41786","103.22477","100.87737","101.80765","","",
"Armenia","ARM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.99224","","","92.73274","","","","","93.72378","89.42334","100.06726","92.07589","92.21211","98.62464","100.1311","","","","","","","99.07164","",
"American Samoa","ASM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","82.93413","82.25236","","","","","","","","","","","","","","","","96.68756","","","","","","","","","","","","","","","","102.50941","95.5458","102.38843","99.74732","","","102.27273","84.84252","",
"Australia","AUS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","95.1131","96.99954","97.19644","","","","","","","","","","","","","","","","","","","","","","","","","101.05519","101.01328","","","100.35975","101.11835","98.89529","98.72442","100.49272","102.91478","100.59701","99.0576","98.56882","96.8977","96.76054","97.86507","99.23865","101.23426","",
"Azerbaijan","AZE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.79738","91.23845","89.76319","81.62099","98.98127","95.16493","92.1731","89.51351","95.16858","97.58601","92.69615","95.59543","93.43062","91.60543","98.13037","90.73683","91.77172","89.51445","92.80683","91.99119","88.08941","98.12571","103.28021","",
"Burundi","BDI","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","5.82047","","10.83886","10.97719","11.66868","10.9273","11.21865","11.31159","11.50399","11.75626","12.09484","14.47403","19.7244","27.01548","28.14842","29.09194","28.51442","39.08414","32.98792","40.56848","44.80747","47.71389","50.77871","","","","","","","23.7981","24.25407","24.73224","29.11926","31.34335","33.53443","","37.9544","40.59923","46.86261","49.63373","54.05053","60.3679","67.82791","66.63933","61.73193","",
"Belgium","BEL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","67.66882","69.62288","70.78346","73.01041","75.39482","69.08354","69.37934","75.74354","78.08959","72.74396","76.18354","74.3509","72.97371","71.97446","73.49022","","","79.10641","","","","","","","","","","","","","","","85.8815","86.18223","86.61532","87.73431","89.0166","","88.83146","89.5373","88.39974","","",
"Benin","BEN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","18.04854","21.07967","21.51077","20.349","24.92766","24.83406","24.23805","26.38204","27.7284","29.58871","30.71823","33.16653","35.92029","29.36138","33.2863","30.36452","29.35956","27.09182","26.81138","18.65396","21.21468","21.47605","23.57146","25.4791","29.92718","32.01722","34.38386","37.07059","","37.26439","40.99202","43.03329","47.2277","50.82491","","","","61.98958","","64.83935","69.52506","70.52257","75.68541","76.34879","77.95554","",
"Burkina Faso","BFA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","7.19578","6.79257","7.03781","6.79653","7.62605","7.55311","8.55744","8.74263","9.5608","9.32447","10.29997","10.54672","11.3079","12.30674","13.9059","","15.82594","16.91584","16.58715","19.49589","19.95176","26.68047","26.24477","27.11621","18.59446","22.57252","","","23.46755","25.42179","26.67762","27.48726","29.11572","30.43151","31.74","32.80571","34.96922","38.8638","43.91837","47.0758","","57.23867","62.11083","60.53247","61.6485","",
"Bangladesh","BGD","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","43.27536","31.60289","","","","28.51405","","","","","","","","45.70129","","","","","","","","","","","","","","","","64.37028","","","57.28958","63.50554","65.75987","73.53122","","91.49796","","98.45178","",
"Bulgaria","BGR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","97.3306","97.86019","97.26353","102.60421","93.49753","93.95399","91.33412","92.16457","102.56441","103.57282","100.42664","96.75766","93.9151","99.74119","110.54953","99.8453","103.04902","102.83991","101.78997","99.49287","89.59733","87.88361","86.37689","88.6128","88.27489","90.70754","94.70078","94.11119","96.28501","96.58558","102.62349","97.93097","99.59552","100.41311","99.22329","97.38236","97.48562","89.61723","94.11656","105.16282","104.92318","98.94933","97.97049","98.67486","98.11515","",
"Bahrain","BHR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","93.05654","89.76224","91.22117","93.70995","90.78276","92.87883","99.72829","105.15452","","103.00467","100.89286","99.6854","94.61852","93.91822","91.9574","","94.57407","99.57222","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.31102","","","","","82.31936","","","","","","106.6838","103.79014","105.21195","101.17424","99.9654","93.09859","","","","","","",
"Bosnia and Herzegovina","BIH","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","101.05636","99.33501","101.57729","96.34676","94.8747","94.03664","93.64257","96.72251","96.98154","98.22461","98.1315","98.39508","98.92776","99.05411","98.18649","98.55009","","","","94.58163","93.78983","89.04144","95.31505","97.30484","95.36528","95.3507","95.86102","","99.02735","102.25308","106.2058","131.54314","101.93278","101.28488","97.59616","96.59072","95.38002","98.28938","105.01118","106.03611","106.86464","103.05895","98.81143","97.61971","97.4428","",
"Belize","BLZ","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.92244","","","89.16447","95.6871","","","98.93544","100.03341","100.81809","","97.27328","97.69423","98.49742","97.52193","99.04853","94.96931","99.71064","100.78125","104.01913","108.08532","101.71168","102.12578","104.40428","",
"Bermuda","BMU","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","72.1694","","","","","","","","","","","","","","","","","","","","","","","","","","96.69421","102.52404","100.36675","95.39801","95.36341","93.6409","","","","99.87578","90.70632","87.79285","88.94349","79.31034","81.19552","",
