"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.99827","1.74641","3.38429","4.60237","6.02516","5.22364","2.02108","1.35065","1.07319","0.88568","4.00458","1.07954","","","","0.69276","","",
"Afghanistan","AFG","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","72.91101","","","","","","","","","","","","","","","","","","","71.34809","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","52.15563","55.49179","","","","","","","","","","","","","","","50.31943","","","","","","","","","","19.8009","20.30916","18.66056","15.98769","","","","","",
"Albania","ALB","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.68575","4.11012","5.67265","","8.28969","8.88871","","","","9.73271","10.60667","8.96613","6.77434","3.86291","4.0874","4.07911","","",
"Andorra","AND","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","45.1778793334961","45.1058616638184","43.7905616760254","42.7328910827637","42.008861541748","40.6344604492188","39.0000381469727","38.077320098877","37.3065795898438","35.6168098449707","34.3822288513184","33.9148483276367","33.3918609619141","32.7095489501953","31.4899101257324","30.9667892456055","30.0550899505615","28.9581298828125","28.3062191009521","28.3008995056152","28.0041809082031","27.397159576416","29.9672794342041","29.5351791381836","27.354320526123","28.1882400512695","26.0964908599854","25.574800491333","24.8891792297363","23.7456798553467","22.7543201446533","21.1994800567627","19.948600769043","19.1946105957031","18.3929405212402","17.5105094909668","17.314489364624","16.7196598052979","15.9881296157837","15.8040399551392","14.7880001068115","14.7548599243164","13.8983297348022","14.4880599975586","14.6798496246338","","",
"United Arab Emirates","ARE","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","20.13564","","23.80177","26.72718","21.1615","25.217","24.92623","25.04367","24.2906","13.26548","9.99524","5.25505","1.59223","1.47078","4.11581","7.49835","9.02866","7.68216","9.48488","12.48358","11.43725","14.78659","18.54272","20.37094","16.23446","9.30762","5.90158","3.76611","4.61725","4.91835","","9.79178","6.76584","7.327","5.38242","5.31023","3.80492","4.04392","",
"Argentina","ARG","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","5.02706","","","","3.38752","3.6142","","","","","","","","","","","","5.45909","","","","3.74618","","","","","","0","0.06236","0.24788","0.45153","","","0.45702","0.80272","0.65417","0.53114","0.4258","0.56171","0.56449","0.93389","0.8593","0.81555","0.64579","0.32545","","",
"Armenia","ARM","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.68287","14.35458","","12.44697","10.03313","7.05162","","","","","","","","3.57629","",
"American Samoa","ASM","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
