"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.79692","96.48602","97.9878","100.50573","99.09117","97.25244","95.92882","97.35637","102.54636","94.64913","96.72344","95.82354","97.01512","111.17452","","","","",
"Afghanistan","AFG","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","8.33161","9.35029","10.34861","10.83169","10.9764","11.04103","11.93622","12.77696","13.44863","","16.94214","19.58524","10.77397","","12.67882","13.46313","12.43842","","13.54388","13.0112","11.22283","16.3063","","16.52857","23.1541","22.56602","","","","","","13.04874","","13.31708","18.66479","19.7837","29.93046","30.08316","40.22338","46.73276","53.24683","54.61618","56.67734","56.68866","55.65616","55.64441","",
"Angola","AGO","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","6.23419","7.08836","8.12509","","","","","9.5099","","12.18995","15.66875","11.06635","10.04539","12.50289","10.74187","12.27909","11.93808","10.07974","11.1814","10.37002","11.00465","12.42604","","","","","","12.02812","12.02433","13.77945","15.57359","16.80757","","","","","","23.55459","24.99245","28.78131","28.89872","","","","","",
"Albania","ALB","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","84.97827","","86.51271","88.25961","90.20202","91.20017","87.0645","82.02884","82.28929","85.33975","88.47091","87.93179","88.72785","88.95282","90.26128","91.1052","77.9228","70.54801","68.96015","68.93171","68.13892","69.67037","71.65516","71.91153","71.4528","72.90516","73.00286","75.01899","74.17028","76.88706","77.95589","81.28087","83.64892","85.40931","88.41164","90.84835","92.74147","95.83157","96.42609","95.76549","",
"Andorra","AND","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","15.36829","14.71306","13.81905","17.33879","25.93956","34.14492","","","","","","","49.39144","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","25.6551609039307","25.5833606719971","26.4297199249268","27.3790092468262","28.3338603973389","29.8677101135254","31.5784301757813","33.5944709777832","35.5606307983398","37.1554298400879","38.4488410949707","39.4217414855957","41.1222991943359","42.4377098083496","43.9410591125488","45.6487693786621","47.7449798583984","49.0473403930664","49.5960006713867","50.343318939209","53.0998992919922","53.1022186279297","51.853630065918","52.4347610473633","54.4239196777344","54.3593788146973","54.2636108398438","55.574520111084","56.9862594604492","58.4748687744141","59.7451782226563","61.1717987060547","62.2349281311035","64.0377731323242","65.8538589477539","65.9310073852539","65.8479309082031","64.6981582641602","65.3422927856445","66.8289031982422","68.0508804321289","70.6914901733398","71.7165603637695","70.2746887207031","70.7350463867188","","",
"United Arab Emirates","ARE","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","19.21111","20.08913","19.36262","17.16987","20.43689","29.55347","30.90093","32.37989","37.3788","44.76774","52.64511","55.88998","59.42434","64.36137","67.75465","69.65097","61.71365","59.28213","59.75841","62.24358","67.05556","69.71596","73.71242","79.47249","83.47521","","80.61616","80.95871","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","44.50374","45.52537","47.247","49.58715","52.29315","53.87589","55.4216","55.50465","55.58721","55.5337","56.45949","57.61167","59.23363","59.75911","65.21991","70.20801","70.19964","69.98517","70.44679","","71.15185","71.63714","","","68.73015","","78.37558","75.16732","81.42908","93.0149","96.52345","97.46162","96.56709","95.75099","95.49693","94.00599","93.34507","93.70675","95.24628","98.83082","101.80112","103.59968","105.19255","106.32314","106.7779","","",
"Armenia","ARM","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.31586","91.2517","93.37306","95.05888","","91.43074","91.31016","78.92293","78.67649","90.74996","87.13641","","","88.32074","91.05856","93.88583","94.87297","92.70561","96.63288","","","","","","88.50236","",
"American Samoa","ASM","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
