"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.08239","19.27892","21.82276","21.32039","19.75715","","14.89786","18.90071","","20.7888","19.0362","21.53726","22.14366","21.74546","20.63408","21.87459","19.61272","","",
"Afghanistan","AFG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.06756","16.04843","10.3568","14.1028","14.46593","12.509","",
"Angola","AGO","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.11468","","5.25508","","","","","7.99235","7.45479","","","","8.68477","","","","","","",
"Albania","ALB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.15339","9.62407","9.68246","10.13703","10.58193","9.88692","10.5736","10.70316","11.35797","10.93295","11.17719","","","","","","12.12391","","","",
"Andorra","AND","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.79283","","11.22463","","13.184705","","","","","","","","",
"United Arab Emirates","ARE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.02373","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.39877","","15.62227","15.88009","16.22696","16.35761","16.44329","14.36279","15.16129","15.81084","16.37776","15.88042","16.6762","16.9547","15.82468","15.96354","15.3352","15.26242","14.71706","","",
"Armenia","ARM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.64809","13.57852","13.46559","14.26845","13.45122","12.40051","12.59334","12.36897","11.13676","9.36712","10.65636","",
"American Samoa","ASM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.52143","","","8.85597","","","","","","","6.91662","","","","","","","",
"Australia","AUS","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.24973","13.35092","13.59172","14.06531","13.20402","15.01692","14.29702","14.77006","14.24612","","","","13.36016","","","","","13.58513","13.1782","13.03027","12.59972","13.41502","14.3276","13.50202","13.18365","14.04586","","","",
"Austria","AUT","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.69995","10.91506","11.13986","11.14898","10.49813","","9.96046","9.23502","","11.16872","11.24664","10.50941","10.48088","10.38341","10.12648","10.24813","9.85898","9.98909","10.01484","10.14746","10.65726","10.85356","11.05856","10.66801","10.95175","","","",
"Azerbaijan","AZE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.40279","20.03854","","14.21675","17.88669","18.498","18.77296","11.39684","11.52329","13.33164","13.12068","8.18491","9.17848","8.55277","9.57143","8.74854","7.34655","5.63889","6.39518","7.37547","","",
"Burundi","BDI","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.86403","18.12272","","16.75644","23.79244","16.7136","","","13.51864","13.43737","14.1125","15.23766","","12.95883","13.87042","","","12.61554","16.30169","16.5881","14.9793","16.42832","17.24326","","","",
"Belgium","BEL","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","10.27051","9.24833","","","","8.60583","8.18001","8.16213","","","","","10.17573","10.27698","5.8266","5.89461","","","","","11.87948","12.01328","11.60373","11.86717","11.21682","12.05675","12.12556","12.51484","11.84939","12.02532","11.7226","","","","","",
